dataset,method,param,nfr_mean,nfr_std,acc_mean,acc_std
credit-g,bcwi,0.025,0.041783668358370045,0.03196860248471461,0.7166666666666667,0.04603630701724465
credit-g,bcwi,0.03,0.043522798793152656,0.029845510805703097,0.7166666666666667,0.04603630701724465
diabetes,baseline,,0.25528729090461033,0.1848785658574638,0.681294964028777,0.07234499687367932
diabetes,confidence_drop,0.0,0.19069886343756157,0.13406080373836904,0.685611510791367,0.06381330561156331
diabetes,confidence_drop,0.5,0.18186462016781127,0.13297420329780354,0.6848920863309352,0.06695759717138133
diabetes,confidence_drop,1.0,0.18923668543254651,0.14291703341242007,0.6784172661870503,0.07154566843425506
diabetes,confidence_drop,2.0,0.1934461731043002,0.14664048766565296,0.6697841726618704,0.07371516967560153
diabetes,confidence_drop,4.0,0.1970660750514613,0.15454968257205462,0.6604316546762591,0.07988167615049162
diabetes,confidence_drop,8.0,0.20054545543755484,0.16417016275347712,0.6561151079136691,0.08816334037504776
diabetes,fixed_anchor,0.0,0.2553044497016226,0.24278935062269535,0.6546762589928057,0.11835935423743948
diabetes,fixed_anchor,0.5,0.23600716218253098,0.24650441715312038,0.660431654676259,0.12027759567466395
diabetes,fixed_anchor,1.0,0.23432467100424154,0.24815423995394228,0.6561151079136691,0.12236327057352826
diabetes,fixed_anchor,2.0,0.23044959031657536,0.24101688538627408,0.6539568345323741,0.1219702082811973
diabetes,fixed_anchor,4.0,0.2291871468776613,0.2412043371140756,0.6496402877697842,0.11777730143737568
diabetes,fixed_anchor,8.0,0.22106233762888322,0.24303113270528934,0.6503597122302158,0.12247601316861224
diabetes,selective_distill,0.0,0.261495876594214,0.23295861205041102,0.6287769784172662,0.1487661240352556
diabetes,selective_distill,0.5,0.25591432369333333,0.2315563840107472,0.6287769784172662,0.14654613275370904
diabetes,selective_distill,1.0,0.25174547995845187,0.22926903439957771,0.6294964028776979,0.15022980783979378
diabetes,selective_distill,2.0,0.24462436660682144,0.22780820834696752,0.6323741007194246,0.14946994239546532
diabetes,selective_distill,4.0,0.2315324328093961,0.2277579658673434,0.6388489208633094,0.15775658669987278
diabetes,selective_distill,8.0,0.22485555052800854,0.22967128582642013,0.6330935251798561,0.1622209546790193
diabetes,projected_gd,0.0,0.01865389897538537,0.023049457131961052,0.660431654676259,0.12037318306611156
diabetes,projected_gd,0.005,0.01865389897538537,0.023049457131961052,0.660431654676259,0.12037318306611156
diabetes,projected_gd,0.01,0.01865389897538537,0.023049457131961052,0.660431654676259,0.12037318306611156
diabetes,projected_gd,0.015,0.01865389897538537,0.023049457131961052,0.660431654676259,0.12037318306611156
diabetes,projected_gd,0.02,0.01865389897538537,0.023049457131961052,0.660431654676259,0.12037318306611156
diabetes,projected_gd,0.025,0.01865389897538537,0.023049457131961052,0.660431654676259,0.12037318306611156
diabetes,projected_gd,0.03,0.02633166442118633,0.021179313379839197,0.662589928057554,0.12182867863468833
diabetes,bcwi,0.0,0.019524534975621073,0.020946705209339025,0.6388489208633094,0.12810335181916324
diabetes,bcwi,0.005,0.019524534975621073,0.020946705209339025,0.6388489208633094,0.12810335181916324
diabetes,bcwi,0.01,0.019524534975621073,0.020946705209339025,0.6388489208633094,0.12810335181916324
diabetes,bcwi,0.015,0.019524534975621073,0.020946705209339025,0.6388489208633094,0.12810335181916324
diabetes,bcwi,0.02,0.019524534975621073,0.020946705209339025,0.6388489208633094,0.12810335181916324
